Date,Transaction Type,No.,Amount ,Due Date,Customer,Split,Terms,A/R Paid,Open Balance,Sent,Delivery Address
06/02/2023,Payment,,121.00  ,06/02/2023,Acme Roof Plumbing,Business,,Paid,,,
29/01/2023,Invoice,1107,121.00  ,05/02/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
02/03/2023,Payment,,272.25  ,02/03/2023,Acme Roof Plumbing,Business,,Paid,,,
13/02/2023,Invoice,1122,272.25  ,20/02/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
13/03/2023,Payment,,90.75  ,13/03/2023,Acme Roof Plumbing,Business,,Paid,,,
12/03/2023,Invoice,1150,90.75  ,19/03/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
13/03/2023,Payment,,60.50  ,13/03/2023,Acme Roof Plumbing,Business,,Paid,,,
26/02/2023,Invoice,1133,60.50  ,05/03/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
28/03/2023,Payment,,60.50  ,28/03/2023,Acme Roof Plumbing,Business,,Paid,,,
19/03/2023,Invoice,1158,60.50  ,26/03/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
10/04/2023,Payment,,393.25  ,10/04/2023,Acme Roof Plumbing,Business,,Paid,,,
02/04/2023,Invoice,1174,393.25  ,09/04/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
07/05/2023,Payment,,242.00  ,07/05/2023,Acme Roof Plumbing,Business,,Paid,,,
11/04/2023,Invoice,1181,242.00  ,18/04/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
14/05/2023,Payment,,60.50  ,14/05/2023,Acme Roof Plumbing,Business,,Paid,,,
30/04/2023,Invoice,1196,60.50  ,07/05/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
22/05/2023,Payment,,242.00  ,22/05/2023,Acme Roof Plumbing,Business,,Paid,,,
23/04/2023,Invoice,1189,242.00  ,30/04/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
22/05/2023,Payment,,437.25  ,22/05/2023,Acme Roof Plumbing,Business,,Paid,,,
21/05/2023,Invoice,1216,437.25  ,28/05/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
11/06/2023,Payment,,302.50  ,11/06/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
14/05/2023,Invoice,1209,181.50  ,21/05/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
28/05/2023,Invoice,1229,121.00  ,04/06/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
28/06/2023,Payment,,104.50  ,28/06/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
25/06/2023,Invoice,1252,104.50  ,02/07/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
28/06/2023,Payment,,60.50  ,28/06/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
11/06/2023,Invoice,1243,60.50  ,18/06/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
25/07/2023,Payment,,423.50  ,25/07/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
23/07/2023,Invoice,1286,151.25  ,30/07/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
03/07/2023,Invoice,1260,272.25  ,10/07/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
31/07/2023,Payment,,786.50  ,31/07/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
30/07/2023,Invoice,1297,786.50  ,06/08/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
28/08/2023,Payment,,635.25  ,28/08/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
20/08/2023,Invoice,1320,635.25  ,27/08/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
20/09/2023,Payment,,453.75  ,20/09/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
10/09/2023,Invoice,1342,453.75  ,17/09/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
20/09/2023,Payment,,242.00  ,20/09/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
17/09/2023,Invoice,1347,242.00  ,24/09/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
12/10/2023,Payment,,192.50  ,12/10/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
24/09/2023,Invoice,1356,121.00  ,01/10/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
02/10/2023,Invoice,1363,71.50  ,09/10/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
16/10/2023,Payment,,605.00  ,16/10/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
08/10/2023,Invoice,1367,605.00  ,15/10/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
30/10/2023,Payment,,616.00  ,30/10/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
29/10/2023,Invoice,1385,616.00  ,05/11/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
31/10/2023,Payment,,286.00  ,31/10/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
23/10/2023,Invoice,1377,286.00  ,30/10/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
02/11/2023,Payment,,132.00  ,02/11/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
15/10/2023,Invoice,1370,132.00  ,22/10/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
20/11/2023,Payment,,500.50  ,20/11/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
20/11/2023,Invoice,1405,500.50  ,27/11/2023,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
19/12/2023,Payment,,60.50  ,19/12/2023,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
06/12/2023,Invoice,1421,60.50  ,11/12/2023,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
31/01/2024,Payment,,143.00  ,31/01/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
14/01/2024,Invoice,1432,143.00  ,21/01/2024,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
26/02/2024,Payment,,"1,000.00  ",26/02/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
04/02/2024,Invoice,1448,90.75  ,11/02/2024,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
18/02/2024,Invoice,1464,242.00  ,25/02/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
11/02/2024,Invoice,1453,701.25  ,18/02/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
26/02/2024,Payment,,34.00  ,26/02/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
18/02/2024,Invoice,1464,242.00  ,25/02/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
04/03/2024,Payment,,"1,201.75  ",04/03/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
03/03/2024,Invoice,1478,"1,201.75  ",10/03/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
04/03/2024,Payment,,242.00  ,04/03/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
25/02/2024,Invoice,1473,242.00  ,03/03/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
02/04/2024,Payment,,324.50  ,02/04/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
17/03/2024,Invoice,1483,324.50  ,24/03/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
02/04/2024,Payment,,"1,000.00  ",02/04/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
01/04/2024,Invoice,1491,"1,000.00  ",09/04/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
24/04/2024,Payment,,"1,000.00  ",24/04/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
09/04/2024,Invoice,1501,550.00  ,16/04/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
16/04/2024,Invoice,1509,313.50  ,23/04/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
23/04/2024,Invoice,1513,"1,254.00  ",30/04/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
05/05/2024,Payment,,"1,000.00  ",05/05/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
23/04/2024,Invoice,1513,"1,254.00  ",30/04/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
30/04/2024,Payment,,117.50  ,30/04/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
23/04/2024,Invoice,1513,"1,254.00  ",30/04/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
19/05/2024,Payment,,924.00  ,19/05/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
13/05/2024,Invoice,1529,143.00  ,19/05/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
28/04/2024,Invoice,1518,528.00  ,05/05/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
07/05/2024,Invoice,1525,253.00  ,12/05/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
05/06/2024,Payment,,792.00  ,05/06/2024,Acme Roof Plumbing,Business,,Paid,,,jake@acmeroofplumbing.com
03/06/2024,Invoice,1549,792.00  ,09/06/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
06/06/2024,Payment,,264.00  ,06/06/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
19/05/2024,Invoice,1537,264.00  ,26/05/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
06/06/2024,Payment,,330.00  ,06/06/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
28/05/2024,Invoice,1543,330.00  ,02/06/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,jake@acmeroofplumbing.com
03/07/2024,Payment,,363.00  ,03/07/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
24/06/2024,Invoice,1565,363.00  ,30/06/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
03/07/2024,Payment,,693.00  ,03/07/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
01/07/2024,Invoice,1575,693.00  ,07/07/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
03/07/2024,Payment,,231.00  ,03/07/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
17/06/2024,Invoice,1560,231.00  ,24/06/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
09/07/2024,Payment,,660.00  ,09/07/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
09/06/2024,Invoice,1553,660.00  ,16/06/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
09/07/2024,Payment,,132.00  ,09/07/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
07/07/2024,Invoice,1581,132.00  ,14/07/2024,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
14/08/2024,Payment,,330.00  ,14/08/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
14/07/2024,Invoice,1586,330.00  ,21/07/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
14/08/2024,Payment,,363.00  ,14/08/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
28/07/2024,Invoice,1591,363.00  ,04/08/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
14/08/2024,Payment,,132.00  ,14/08/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
04/08/2024,Invoice,1597,132.00  ,11/08/2024,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
14/08/2024,Payment,,561.00  ,14/08/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
11/08/2024,Invoice,1603,561.00  ,18/08/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
29/08/2024,Payment,,924.00  ,29/08/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
25/08/2024,Invoice,1615,924.00  ,01/09/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
13/09/2024,Payment,,"1,056.00  ",13/09/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
18/08/2024,Invoice,1609,"1,056.00  ",25/08/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
13/09/2024,Payment,,"1,518.00  ",13/09/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
01/09/2024,Invoice,1619,"1,518.00  ",08/09/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
13/09/2024,Payment,,891.00  ,13/09/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
08/09/2024,Invoice,1626,891.00  ,15/09/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
01/10/2024,Payment,,132.00  ,01/10/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
15/09/2024,Invoice,1633,132.00  ,22/09/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
01/10/2024,Payment,,858.00  ,01/10/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
22/09/2024,Invoice,1640,858.00  ,29/09/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
01/10/2024,Payment,,594.00  ,01/10/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
29/09/2024,Invoice,1647,594.00  ,06/10/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
13/10/2024,Payment,,"1,000.00  ",13/10/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
06/10/2024,Invoice,1653,"1,270.50  ",13/10/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
13/10/2024,Payment,,270.50  ,13/10/2024,Acme Roof Plumbing,Business,,Paid,,,accounts@acmeroofplumbing.com
06/10/2024,Invoice,1653,"1,270.50  ",13/10/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
28/10/2024,Payment,,"1,287.00  ",28/10/2024,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
20/10/2024,Invoice,1667,"1,287.00  ",27/10/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
11/11/2024,Payment,,594.00  ,11/11/2024,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
03/11/2024,Invoice,1682,594.00  ,10/11/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
11/11/2024,Payment,,627.00  ,11/11/2024,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
13/10/2024,Invoice,1657,363.00  ,20/10/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,accounts@acmeroofplumbing.com
27/10/2024,Invoice,1675,264.00  ,03/11/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
26/11/2024,Payment,,297.00  ,26/11/2024,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
11/11/2024,Invoice,1689,297.00  ,18/11/2024,Acme Roof Plumbing,Sales,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
27/11/2024,Payment,,297.00  ,27/11/2024,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
19/11/2024,Invoice,1698,"1,221.00  ",26/11/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
05/12/2024,Payment,,"1,000.00  ",05/12/2024,Acme Roof Plumbing,Business,,Paid,0.00  ,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
02/12/2024,Invoice,1712,528.00  ,10/12/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
19/11/2024,Invoice,1698,"1,221.00  ",26/11/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
05/12/2024,Payment,,716.00  ,05/12/2024,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
02/12/2024,Invoice,1712,528.00  ,10/12/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
25/11/2024,Invoice,1706,264.00  ,02/12/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
10/01/2025,Payment,,"1,000.00  ",10/01/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
16/12/2024,Invoice,1719,"1,188.00  ",23/12/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
10/12/2024,Invoice,1717,495.00  ,17/12/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
10/01/2025,Payment,,"1,000.00  ",10/01/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
16/12/2024,Invoice,1719,"1,188.00  ",23/12/2024,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
31/12/2024,Invoice,1724,693.00  ,07/01/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
10/01/2025,Payment,,376.00  ,10/01/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
31/12/2024,Invoice,1724,693.00  ,07/01/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
03/02/2025,Payment,,"1,000.00  ",03/02/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
20/01/2025,Invoice,1738,478.50  ,27/01/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
27/01/2025,Invoice,1741,"1,122.00  ",03/02/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
03/02/2025,Payment,,600.50  ,03/02/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
27/01/2025,Invoice,1741,"1,122.00  ",03/02/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
25/02/2025,Payment,,561.00  ,25/02/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
03/02/2025,Invoice,1749,561.00  ,10/02/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
25/02/2025,Payment,,462.00  ,25/02/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
10/02/2025,Invoice,1757,462.00  ,17/02/2025,Acme Roof Plumbing,-Split-,7 Days,Paid,0.00  ,Sent,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
21/03/2025,Payment,,"1,000.00  ",21/03/2025,Acme Roof Plumbing,Business,,Paid,,,"accounts@acmeroofplumbing.com, jake@acmeroofplumbing.com"
